,name,price,location,price_int
0,Cat Tembok Avitek 1kg Avian Brands Avitex,Ed48.900,Kab. Bekasi,48900
0,Lem Pipa & Fitting PVC ViPLAS 100gr AVIAN Brands 100 gram botol 100 gr,Ed19.500,Makassar,19500
0,Cat Tembok Avitex 1 kg Putih / Hitam / Warna Ready Avian Brand,Ed40.000,Depok,40000
0,PAINT REMOVER VIP 250GR / PERONTOK CAT VIP / AVIAN BRANDS,Ed28.500,Surabaya,28500
0,Cat Tembok Exterior LENKOTE SUNGUARD ALL IN ONE 20 Liter AVIAN BRAND,Ed2.850.000,Tangerang,2850000
0,PAINT REMOVER VIP 250GR / PERONTOK CAT VIP / AVIAN BRANDS,Ed26.500,Jakarta Barat,26500
0,Cat Kayu Boyo Politur Vernis Avian Brands 1liter/ Pernis Pelitur 1kg,Ed70.000,Kab. Tangerang,70000
0,Cat Kayu Dan Besi YOKO Avian Brand GLOSS Mengkilap Cat Minyak 0.7L,Ed55.000,Jakarta Timur,55000
0,Cat Kayu dan Besi Yoko 0.7L Avian Brands,Ed54.500,Kab. Bekasi,54500
0,BOYO Politur Warna 1 Liter CAT PLITUR Kayu bkn Propan P05 Avian Brands,Ed60.000,Kab. Tangerang,60000
0,Cat besi avian 1KG 200CC 100CC,Ed12.900,Jakarta Utara,12900
0,cat Avian Kayu dan Besi,Ed55.000,Surabaya,55000
0,Cat Tembok Exterior Avitex Tinting 5KG AVIAN BRAND,Ed230.000,Tangerang,230000
0,Cat Kayu dan BESI AVIAN CLING Synthetic,Ed58.888,Jakarta Utara,58888
0,Cat Dasar Tembok Avitex Alkali Resisting Primer 4 Kg AVIAN BRAND,Ed145.000,Tangerang,145000
0,LEM EPOXY AVIAN 2 Komponen (Resin + Hardener) 340 Gram Avians Brands,Ed53.000,Kab. Tangerang,53000
0,Cat Tembok Avitex (Avian Brands) 5kg Warna Ready Murah Sekali,Ed95.500,Kab. Bogor,95500
0,PAINT REMOVER VIP 250GR / PERONTOK CAT VIP / AVIAN BRANDS,Ed23.000,Kab. Tangerang,23000
0,Yoko Cat Minyak Kayu dan Besi 1 Kg Avian Brand Blue Improved Formula,Ed55.000,Tangerang Selatan,55000
0,Boyo Politur Vernis Clear/ Transparant 1liter/ Plitur kayu Avian Brand,Ed69.500,Jakarta Pusat,69500
0,Cat Kayu dan Besi Glovin Avian Brand,Ed64.900,Kab. Bekasi,64900
0,CAT TEMBOK ARIES BY AVIAN BRANDS // CAT INTERIOR PLAFON DAN BETON 20KG,Ed174.800,Bandung,174800
0,"Moorlife Lunch Box Lavie set Tas, Kotak Makan, Botol - Avian Brands",Ed36.000,Jakarta Utara,36000
0,CAT AVIAN BRANDS CAT KAYU DINDING CAT BELMAS PAPAN TULIS HITAM 1 KG,Ed33.400,Kab. Tangerang,33400
0,PAINT REMOVER VIP 250GR / PERONTOK CAT VIP / AVIAN BRANDS - CAIRAN VIP,Ed27.000,Tangerang,27000
0,PAINT REMOVER VIP 1 KG / PERONTOK CAT VIP / PENGUPAS CAT AVIAN BRANDS,Ed74.000,Surabaya,74000
0,Cat Tembok Interior Avitex Wizz 5Kg Tinting Avian Brand,Ed120.000,Tangerang,120000
0,Cat Genteng Dan Seng AVIAN Brands YOKO Ready Mix 4 KG PAKET,Ed159.000,Bandung,159000
0,Cat Tembok Interior LENKOTE EVERGLO 20 Liter AVIAN BRAND,Ed1.950.000,Tangerang,1950000
0,Cat Tembok Interior Murah ARIES 5 KG Galon - Avian Brands - SW Super White,Ed58.000,Makassar,58000
0,PAINT REMOVER VIP 250GR / PERONTOK CAT VIP / AVIAN BRANDS,Ed28.500,Surabaya,28500
0,PAINT REMOVER VIP 1 KG / PERONTOK CAT VIP / PENGUPAS CAT AVIAN BRANDS,Ed67.000,Kab. Tangerang,67000
0,"YOKO CAT MINYAK / CAT BESI KAYU AVIAN BRAND 0,7L",Ed55.000,Tangerang,55000
0,PAINT REMOVER VIP 250GR / PERONTOK CAT VIP / AVIAN BRANDS,Ed26.495,Jakarta Utara,26495
0,Cat Tembok Aries Gold 18kg Pail Avian Brands Cat Tembok Interior,Ed275.000,Tangerang,275000
0,Cat Tembok Plafon Aries Galon Super White Putih 5kg Avian Brands,Ed48.500,Bandung,48500
0,AVIAN Paint Remover VIP (1 KG) - Perontok Penghapus Cat Avian Brands,Ed74.100,Semarang,74100
0,PAINT REMOVER VIP 1 KG / PERONTOK CAT VIP / PENGUPAS CAT AVIAN BRANDS,Ed74.000,Surabaya,74000
0,Cat Kayu dan Besi Avian Brand CLING Synthetic 1 LTR,Ed58.000,Jakarta Utara,58000
0,Cat Tembok Cat Interior Avian Brand Aries 5 KG,Ed47.999,Jakarta Utara,47999
0,Dempul Kayu Wood Filler BOYO Avian Brands Mebel Kusen Pintu,Ed45.000,Tangerang,45000
0,"Cat Tembok ARIES GOLD 4,5 kg Galon Avian Brands",Ed80.000,Makassar,80000
0,"Cat Tembok Exterior LENKOTE SUNGUARD 2,5 Liter AVIAN BRAND",Ed330.000,Tangerang,330000
0,Cat Tembok Interior AVITEX 5 kg Galon Avian Brands / Dinding Dalam,Ed150.000,Makassar,150000
0,Cat Tembok Avitex Gold Interior Eksterior 5KG Avian Brands Tinting,Ed160.000,Tangerang,160000
0,PAINT REMOVER VIP PERONTOK CAT VIP / AVIAN BRANDS 250CC / 250G / 1KG,Ed26.495,Jakarta Utara,26495
0,Cat Kayu dan Besi Yoko dari Avian Brands cat minyak 0.7 Liter hitam,Ed55.000,Kab. Bekasi,55000
0,BOYO VERNIS POLITUR CLEAR (TRANSPARAN) 1 LTR / AVIAN BRANDS/ PLITUR,Ed60.000,Kab. Tangerang,60000
